id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"233","Vacation","2015","Jul","Adventure","R","99","English","John Francis Daley, Jonathan M. Goldstein","Jonathan M. Goldstein","Ed Helms","34","62","52476","31000000","58787835"
"234","Twenty Feet from Stardom","2013","Jul","Documentary","PG-13","91","English","Morgan Neville","Morgan Neville","Lou Adler","83","74","9104","1000000","4946250"
"235","The Words","2012","Sep","Drama","PG-13","102","English","Brian Klugman, Lee Sternthal","Brian Klugman","Dennis Quaid","37","71","57751","6000000","11494838"
"236","W.E.","2011","Jan","Drama","R","119","English","Madonna","Madonna","Abbie Cornish","37","62","9277","15000000","582075"
"237","The Giver","2014","Aug","Drama","PG-13","97","English","Phillip Noyce","Michael Mitnick","Jeff Bridges","47","65","80230","25000000","43838601"
"238","Last Passenger","2013","Apr","Action","R","97","English","Omid Nooshin","Omid Nooshin","Dougray Scott","66","57","3725","2500000","9326"
"239","Connected: An Autoblogography About Love, Death & Technology","2011","Jan","Documentary","PG","82","English","Tiffany Shlain","Tiffany Shlain","Ken Goldberg","37","56","316","1300000","13301"
"240","Stoker","2013","Mar","Drama","R","99","English","Chan-wook Park","Wentworth Miller","Mia Wasikowska","58","68","81716","12000000","1702277"
"241","Aftershock","2012","Jun","Action","R","89","Spanish","Nicolás López","Nicolás López","Eli Roth","39","48","8152","2000000","40179"
"242","Machete","2010","Sep","Action","R","105","English","Ethan Maniquis, Robert Rodriguez","Robert Rodriguez","Danny Trejo","60","67","161689","10500000","26593646"
"243","Total Recall","2012","Jun","Action","R","113","English","Paul Verhoeven","Philip K. Dick","Arnold Schwarzenegger","57","75","231796","125000000","58877969"
"244","Mars Needs Moms","2011","Mar","Animation","PG","88","English","Simon Wells","Simon Wells","Seth Green","49","54","17182","150000000","21345454"
"245","Now, Forager","2012","Aug","Drama","NOT RATED","93","English","Jason Cortlund, Julia Halperin","Jason Cortlund","Jason Cortlund","54","65","167","335000","10895"
"246","Insidious","2010","Apr","Fantasy","PG-13","103","English","James Wan","Leigh Whannell","Patrick Wilson","52","68","191711","1500000","54009150"
"247","Fast Five","2011","Apr","Action","PG-13","131","English","Justin Lin","Chris Morgan","Vin Diesel","67","73","273669","125000000","209837675"
"248","The Last Stand","2013","Jan","Action","R","107","English","Jee-woon Kim","Andrew Knauer","Arron Shiver","54","64","111302","30000000","12026670"
"249","The Judge","2014","Oct","Crime","R","141","English","David Dobkin","Nick Schenk","Robert Downey Jr.","48","74","129853","50000000","46590889"
"250","Seven Days in Utopia","2011","Sep","Drama","G","100","English","Matt Russell","David L. Cook","Robert Duvall","37","61","2393","7500000","18000000"
"251","House at the End of the Street","2012","Sep","Horror","PG-13","101","English","Mark Tonderai","David Loucka","Jennifer Lawrence","31","56","56205","6900000","31607598"
"252","Chernobyl Diaries","2012","May","Horror","R","86","English","Bradley Parker","Oren Peli","Ingrid Bolsø Berdal","N/A","50","51148","1000000","18112929"
"253","Brick Mansions","2014","Apr","Action","PG-13","90","English","Camille Delamarre","Luc Besson","Paul Walker","40","57","30201","28000000","20285518"
"254","American Reunion","2012","Apr","Comedy","R","113","English","Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz","Jason Biggs","49","67","167472","50000000","56724080"
"255","Only God Forgives","2013","May","Crime","R","90","English","Nicolas Winding Refn","Nicolas Winding Refn","Ryan Gosling","37","57","78999","4800000","778565"
"256","Million Dollar Arm","2014","May","Biography","PG","124","English","Craig Gillespie","Tom McCarthy","Jon Hamm","56","71","33955","25000000","36312739"
"257","Let Me In","2010","Oct","Drama","R","116","English","Matt Reeves","Matt Reeves","Kodi Smit-McPhee","79","72","88673","20000000","12134420"
"258","Men in Black 3","2012","May","Action","PG-13","106","English","Barry Sonnenfeld","Etan Cohen","Will Smith","58","68","257005","225000000","179020854"
"259","Beginners","2010","Jun","Comedy","R","105","English","Mike Mills","Mike Mills","Ewan McGregor","81","72","70808","3200000","5790894"
"260","Lost Angels: Skid Row Is My Home","2010","Jun","Documentary","NOT RATED","77","English","Thomas Q. Napper","Christine Triano","Kevin Cohen","N/A","73","381","300000","11488"
"261","Green Zone","2010","Mar","Action","R","115","English","Paul Greengrass","Brian Helgeland","Igal Naor","63","69","107044","100000000","35024475"
"262","Diary of a Wimpy Kid","2010","Mar","Comedy","PG","94","English","Thor Freudenthal","Jackie Filgo","Zachary Gordon","56","62","30597","15000000","64001297"
"263","Cyrus","2010","Jul","Comedy","R","91","English","Jay Duplass, Mark Duplass","Mark Duplass","John C. Reilly","74","63","29356","7000000","7455447"
"264","The Girl with the Dragon Tattoo","2011","Dec","Crime","R","158","English","David Fincher","Steven Zaillian","Daniel Craig","71","78","319758","90000000","102515793"
"265","The Best Man Holiday","2013","Nov","Comedy","R","123","English","Malcolm D. Lee","Malcolm D. Lee","Monica Calhoun","59","67","11293","17000000","68969000"
"266","Monte Carlo","2011","Jul","Adventure","PG","109","English","Thomas Bezucha","Thomas Bezucha","Selena Gomez","43","58","31371","20000000","23186769"
